word	id	tf
my	0	8
name	1	1
is	2	44
jason	3	1
and	4	161
i	5	24
run	6	2
the	7	187
targeted	8	3
operations	9	6
red	10	4
team	11	5
at	12	16
trustedsec	13	5
an	14	23
end	15	6
to	16	126
offensive	17	3
security	18	54
shop	19	2
founded	20	1
by	21	27
david	22	1
kennedy	23	1
based	24	12
in	25	86
cleveland	26	1
oh	27	1
area	28	2
we	29	53
all	30	5
manner	31	1
of	32	148
advanced	33	2
engagements	34	1
have	35	21
succeeded	36	1
compromising	37	1
some	38	3
largest	39	1
companies	40	2
world	41	8
work	42	6
improve	43	3
defense	44	1
teams	45	2
routinely	46	1
present	47	9
conferences	48	1
board	49	1
meetings	50	1
alike	51	1
m	52	7
joined	53	1
several	54	4
operators	55	2
u	56	6
oddvarmoe	57	1
int	58	1
bebo_	59	1
no	60	5
question	61	8
off	62	1
table	63	1
but	64	11
if	65	5
you	66	3
ask	67	2
a	68	93
troll	69	2
are	70	34
liable	71	1
get	72	6
answer	73	3
or	74	23
xd	75	1
www	76	10
com	77	13
http	78	1
edit	79	5
for	80	55
newcomers	81	1
wanting	82	2
more	83	10
into	84	8
offsec	85	1
https	86	11
reddit	87	8
r	88	8
cybersecurity	89	21
comments	90	8
p	91	8
jah	92	8
comment	93	8
nqjqpnc	94	2
utm	95	20
_source	96	4
share	97	12
_medium	98	4
web	99	16
x	100	8
_name	101	4
xcss	102	8
_term	103	4
_content	104	4
_button	105	4
utm_source	106	4
utm_medium	107	4
utm_name	108	4
utm_term	109	4
utm_content	110	4
share_button	111	4
also	112	12
blog	113	2
career	114	6
it	115	21
where	116	7
do	117	6
start	118	4
those	119	5
physical	120	20
nqjlmnb	121	2
favorite	122	1
so	123	8
far	124	2
nqk	125	2
d	126	3
c	127	2
on	128	51
imposter	129	1
syndrome	130	1
nqkq	131	2
this	132	45
weekly	133	1
thread	134	1
education	135	1
questions	136	5
advice	137	4
there	138	8
stupid	139	1
what	140	10
want	141	2
know	142	1
about	143	5
certs	144	1
degrees	145	1
job	146	4
requirements	147	7
any	148	3
other	149	6
general	150	2
away	151	1
interested	152	2
people	153	7
asking	154	2
think	155	3
your	156	2
has	157	8
been	158	3
asked	159	1
before	160	5
look	161	1
through	162	3
prior	163	1
weeks	164	1
content	165	1
though	166	1
re	167	1
working	168	6
making	169	1
easily	170	1
searchable	171	1
future	172	3
curious	173	1
how	174	8
from	175	15
practical	176	3
angle	177	1
don	178	1
t	179	5
mean	180	2
blockchain	181	1
audit	182	1
logs	183	2
heavy	184	1
enterprise	185	1
systems	186	27
something	187	1
normal	188	2
humans	189	1
could	190	3
actually	191	3
use	192	1
lol	193	1
clients	194	1
lawyers	195	1
freelancers	196	1
small	197	2
anyone	198	1
who	199	1
just	200	3
wants	201	1
simple	202	1
way	203	4
show	204	1
here	205	3
s	206	14
file	207	4
proof	208	1
wasn	209	1
altered	210	1
straightforward	211	1
privacy	212	8
respecting	213	1
method	214	5
that	215	43
doesn	216	3
require	217	2
big	218	1
infrastructure	219	5
setup	220	2
basically	221	1
everyone	222	1
needs	223	1
learn	224	4
integrity	225	1
verification	226	1
whether	227	2
they	228	8
like	229	3
not	230	8
looking	231	3
product	232	1
recommendations	233	2
concepts	234	3
approaches	235	7
professionals	236	2
trust	237	1
currently	238	2
new	239	12
bit	240	1
tired	241	1
constantly	242	1
learning	243	7
environment	244	2
politic	245	1
challenges	246	13
considering	247	2
applying	248	2
role	249	1
easier	250	1
me	251	3
many	252	2
things	253	3
pay	254	1
good	255	1
reduce	256	1
previous	257	1
one	258	6
as	259	19
will	260	10
time	261	6
however	262	7
wondering	263	1
okay	264	1
choose	265	1
hurt	266	1
later	267	2
can	268	17
technologies	269	6
own	270	2
instead	271	2
does	272	1
self	273	1
without	274	3
using	275	3
help	276	3
cv	277	1
profile	278	1
love	279	1
field	280	3
thanks	281	2
graduate	282	2
may	283	3
with	284	23
b	285	2
computer	286	2
information	287	9
technology	288	6
concentration	289	1
management	290	8
years	291	8
experience	292	1
desk	293	1
supervisor	294	1
vulnerability	295	2
intern	296	1
fortune	297	1
company	298	3
started	299	3
june	300	1
was	301	4
edged	302	1
manager	303	2
thats	304	1
ill	305	1
be	306	23
able	307	5
convert	308	1
full	309	2
when	310	2
due	311	1
recent	312	4
org	313	1
changes	314	3
theres	315	1
headcount	316	1
might	317	2
position	318	2
another	319	1
hr	320	1
spot	321	1
nothing	322	1
confirmed	323	1
because	324	1
entry	325	1
level	326	3
positions	327	1
its	328	4
slow	329	1
waiting	330	2
feb	331	1
march	332	1
wave	333	2
again	334	1
hopefully	335	1
interview	336	1
only	337	1
had	338	2
second	339	2
round	340	1
yall	341	1
prepare	342	1
next	343	2
cycle	344	2
im	345	2
alrdy	346	1
preparing	347	1
sec	348	2
network	349	16
splunk	350	1
cert	351	1
aswell	352	1
soc	353	3
analyst	354	1
vuln	355	1
roles	356	1
